label,tweet
1,It's going down it's going down it's going down lil bitch.
1,RT @GabrielaAngela4: That hoe wanta 6/6.
1,RT @ComedyPics: If Kanye took Kim to McDonald&#8217;s then ya hoes don&#8217;t deserve $200 Dates http://t.co/2QK4I1fRTs
1,RT @DeePaPi1800: That outside dick keep dem hoes sick...
1,"RT @KejonASavage: ""@_chocgirL: Rich homie and bird man gone be at mansion &#233;lan tonight &#128064;"" some niggas got fuckd up by the bouncers when i w&#8230;"
1,Fuck the courts!!! How is a $35 fine add up to $445 MF dollars bitch??
1,"RT @kushed_420: ""It's a joke bitch, fix ya face"" &#128514;&#128514;&#128514;&#128557;&#128557; http://t.co/8lRHRZcaUK"
1,"""@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*"
1,&#8220;@kingCvpital: &#8220;@GinaSanabria_: &#8220;@kingCvpital: &#8220;@keanabermudez: MEN are the biggest hoes lmao&#8221;&#8221;&#8221;&#8221;
1,@anggxo get off my twitter fag
1,"RT @JoeBudden: My definition of ""bad bitch"" has changed drastically over the years."
1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
1,@jcharles25 @tkelce y'all tryna fuck my bitch after the game or nah?
1,RT @Xnastyy: no i ain't no bitch &amp; no i ain't no snitch!
1,Lex Steele I know y'all know him he been knocking hoes off for years and moaning in the process http://t.co/iz75peY71Z
1,RT @OhLawdItsNiesha: That hoe ain't shit
1,RT @Yanoozaj: I hope LVG is homeless in a few years whilst Welbeck is scoring 30+ for Arsenal and fucking bitches
1,@AnastasiaPacana Iheinz201 stfu! she thinks your ugly and hard to look at! get the fuck out of chat faggot before i block you Oct 30th 1am
1,I snorted shit with more girls in my presence than a dude lmao coke head bitches..
1,RT @Treal_UrMagesty: Darkskin girls got that juicy pussy &#128069;&#128166;&#128166;&#128571;&#128571;
1,RT @d1_imaginary23: Boys get thirsty and grimey for a girl no pussy getting ass niggas
1,I'm sick of dudes posting videos of them singing on vine. Do that shit in the shower or something fags
1,"""@wiganzlad: ""@MarkyCrumb: ""@gmail_shorts: I'm on my way http://t.co/MqcZuXlbtT"" love a #chav""hot"" sexy scally fucker."
1,"@OptimusOdd mine will say ""the intimidator"" &#128514;&#128514; cause bitches can't handle it.&#128514;"
1,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5"
1,Punk bitch walking tall like you got something to prove
1,@jennahnorberg I'm always a call away if ya need me nigs
1,"It wus yo fat ass that filled out the application to work there, not me bitch....."
1,&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; RT @RealityyBites: Nope Thts not wht it says here.. RT @PeachDulce: I'm not a hoe. I'm a people person http://t.co/RJ1vIx7VCz
1,RT @Coolie_GBE300: When the side bitch try to approach you in public. http://t.co/GbbIob1Ots
1,@BrendaGisselCA then what the hell are the perks of being your hoe? This is some bullshit
1,"RT @Poochda63: After sex a bitch be like ""so what are we?"" And you like ""probably parents cause I ain't pull out"""
1,I would probably still feel bad if you weren't such a bitch about it...
1,I'm boutta merk a nigguh
1,@ClicquotSuave my nigga what her pussy smell like?
1,@DanLukas12 gotta keep your bitch in check
1,@LiamGeraldShone @AranNicolWHUFC @DSaend ur a fucking half breed dog. Stop acting.
1,@BitchImaStunna @VeshaaCouture lmao bitch shut up
1,@DefineMEee lol tell dat white bitch I said hey
1,@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh
1,RT @Quis_2TurntUp: &#8220;@1017_Sqquad: Iont got no type&#8221;bad bitches is the only thing that I like &#128111;&#128131;&#128131;
1,"&#8220;@BlueEyeBeaner: Vienna sausage clit http://t.co/YY1Gj6oeds&#8221; 

I suck dat bitch. Don&#8217;t y&#8217;all eva believe a colored man don&#8217;t eat no pussay"
1,RT @Mr_buckets5: Lol Rahshauna has hoes
1,&#8220;@ToriJBerman: Shavonne was doing ballet in the middle of the street last night and fell &#128553;&#128553;&#128514;&#128514;&#128514;&#128514;&#128557;&#128557;&#128557;&#8221;&#128557;&#128557;&#128557; bitch it wasn't ballet
1,@JacsonBevens @markkiszla absolutely retarded article http://t.co/3hSVTYOXFf
1,Facts can be a bitch sometimes. http://t.co/zZkAgXiVlU
1,"Other then the faggot shit, Macklemore actually a really good artist....better than alot of rappers"
1,I'm lifted before I'm stiff out of this bitch
1,"Fuck! ""Hostess to liquidate if Bakers&#8217; strike continues through Thursday; end of Twinkies..."" - http://t.co/gtWmJmGT"
1,RT @TOnycranshaw22: @AlmightyVinny_ @RichHomieMeezy @54OO_Mauri bitch stop lien
1,Lmfao bitch got her shit rocked
1,RT @iLGDaily: I'ma get wifey not cunt who spreads legs for anyone. Settle for nothing but the rarest. Difference better you and me lmao
1,"Nah watch the hoes thats jus gettin fucked start tweetin bout ""Make Love"""
1,Another long mornin smh...Thank God a nicca out here to see it tho real shit
1,RT @CuhCuhCuh: these blacc ass charcoal bitches be sayin they mixed with irish and some other false shit cuh
1,RT @BudaHefner74: Fuck dat bitch
1,I actually get on with Erin and think she's really nice bit you're so two faced and bitch about her all the time... #nasty
1,If she wears these to dinner then she's paying for her own food because Im treating that bitch like a stranger..... http://t.co/Pm5AA6PlW0
1,@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out
1,RT @RaqiThunda: The trick of reality tv is making tacky bitches seem classy &amp; badgering real women with real ethic into submission. It's a &#8230;
1,A dyke who wears strap ons can't brag to me that she beats the pussy better than me because her dildo can't cum and make her stop.
1,RT @papo_fonseca: Niqqas talk more then bitches these days.
1,@AwiLL_2RECKLESS lol his matches from the early 90's when he was IC champion the bitches really would go ham
1,"""omg this bitch is fucking stupid I swear blah blah blah"" *a week later* omg ilysm bae ur my best friend I swear"
1,&#8220;@victoriag3618: So that history test made me its bitch &#128514;&#128542;&#8221; haha
1,Man I wish this bitch would just STFU!!!
1,RT @RobIsRandomAF_6: Tyrese a baby back bitch! Hope they kill him before Black History Month. #AMCWalkingDead
1,RT @NorrisDaGod: I have no hoes &#128581;
1,&#8220;@RoJustDGAF Aren't they all tho bro? RT @landoup: I hate a nosey bitch....&#8221;some more than others
1,&#8220;@iKayKing: Things hoes say... https://t.co/i9zs1OUd0I&#8221;
1,Music is the only bitch I put up with
1,@sbsylvester @kieffer_jason nigga stfu u not funny we all laughing at yo retarded ass just stfu
1,"@Zhugstubble naw nigga what's up with em hands, what happened to the shit you was talking a couple a month's ago, eat bitch"
1,"' I'm hard to kill &#1041653; , I'm countin cake up with ma finest bitch &#1041636;&#1041636; . Take off her makeup and she still look like a finalist &#1041191;&#1043359; ."
1,RT @TheBardockObama: People downloading time hop to be reminded they were faggots a year ago too
1,RT @caseytu88662466: Play pussy get fucked
1,&#8220;@GiantRaiderKing: @nomaambundy92 fag&#8221; but Tony :(
1,@RealWallieWall Sheet i can't do that too a cripple
1,If I fuck a nigga bitch ima just record it an keep fuckin her til she play dumb then ima have to show him
1,@urHIGHnesss_ &#128514; nah lemme chill i love the bitches
1,#realtalk if you a hoe an try to get serious with someone don't expect to be anything more then a piece of meat to them
1,Can never follow bitches who's bios look like this http://t.co/tHk9mnQtrg
1,@KimberlyyAye speaking of little bitch you didn't even do all your squats you little bitch kept talking to distract everyone else &#128530; &#128587;&#128064;&#128073;&#128590; icu
1,Free Ballout lil bitch &#128520;&#128299;
1,"@CDNBallJunkie I jus wanna let you know OKC trash, IBAKA ain't shit, y'all ain't goin nowhere without Harden"
1,Nah just yo hoe she just swung matter fact RT @iiAK: @_VinChi3 yu get hoes?!? &#128551;
1,RT @SirJakel: The awkward moment when you're changing in the gym and your penis head slips through the slit of your boxers.
1,RT @bigshaadswerver: Yu take this money we gon throw a party on that pussy
1,RT @FreeTopher: That black pussy have nigga sayin anything #AHSFREAKSHOW
1,I swear I hate when Im somewhere and a woman catches my rubberband that clearly says KAPPA ALPHA PSI and ask me am I a kappa. Yes bitch lol
1,@MitchTierney @slings_x_arrows I ain't no lady bitch
1,Bitches always like you got hoes.. I be like duhh I'm tryna make you one of em &#128514;&#128514; nbs
1,Ain't nun Ordinary about this bitch &#9995;&#128527;
1,I love how my brother actually tries to understand his girl and see her point of view when they argue instead of being a bitch about it .
1,RT @CauseWereGuys: If you're not a little bitch http://t.co/92fliCL627
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,RT @dilemma617: Your iPad raised your kid to be a giant pussy. Good job.
1,Mom just called me a rude ass hoe #rude
1,I dont hide bitch im high when im in public
1,"Finally running the game and everybody trippin now, but Ion give a fuck I got their bitches drippin now."
1,"@gusandrews HEY! I'M still on LambdaMOO. (and it really is empty, nobody to talk to except that asshole bird...)"
1,@michellemcaffey I'll show you how much of a fag I am &#128527;
1,100 mile dead zone radius around Philly...gotta go to NY or DC RT @CeeRoss The tri state needs better bitches
1,RT @VersaceTweetGod: Leotard not leopard. Zeeti hoes dumb. &#8220;@JennnVeee: &#8220;@DJZeeti: twitpic a selfie wearing a leotard&#8221; http://t.co/8fQP7fpb&#8230;
1,"Hello October, you irrelevant bitch you no worries November coming &#128076;"
1,"@ploppy74 
And you a funny ofay! My mammy woulda been happy I made friends wit da folk dat brought us to da new world in chains"
1,&#8220;@cb_marie: Fuck them texts! &#128526; it's a movement. Lmaooo &#8220;@koleworld4: courts texting rubbed off on me &#128514;&#8221;&#8221;she used to be bitch bout it tho &#128553;
1,"Guess who just got an apartment in downtown Columbus? That's right bitch you guessed it, this guy."
1,@stonethegreat23 niqqa that's every white person just because some might seem down to earth don't mean there not gonna use nigger against us
1,@jasongregory674 @Devondude1234 @hot_lads fuck yeah and hot big blk boots. This scally lad would get it.
1,@KelseyHison @JODYHiGHROLLER see bitch this is why you have no friends
1,&#128514;&#128514;&#128514;RT @LiViBADD88: cheap hair.. cheap dresses.. cheap shoes.. tacky ass little bitches
1,@harley_schuder bitch where you going?
1,I'm so raw is problem the best song tyga will have anything after that is trash
1,@clfrew27 ill slap a hoe
1,"RT @ChaseMyChucks: ""@viva_based: @CallME__Jetson hoe ass nigga. &#128529;""Hoe Ass Nigga x2"
1,Aint no hoe in blood
1,"RT @basedamERICan: ""Aye fam you think you can line me up I saw a bad bitch in Mrs. Bridget's room"" http://t.co/OAl9WlJMgE"
1,' Mannnnn wake y'all bitch asses up Blood !
1,RT @NoWomanIsRight: Only way I want a female to cover up if I like her the rest of you hoes I want to see half naked pics on the TL
1,"I hate a extra ass bitch or an extra ass nigga . you're doing too much , just stop . It's unnecessary ."
1,"""dont show me no bitch unless she look like Dolly Parton!!!"""
1,"RT @lord_jonesss: @1017_Sqquad no... I want 1 billion dollars... 4 bad hoes from da islands... and a fine ass genie bitch, but datz none of&#8230;"
1,A down bitch for a real nigga
1,RT @Thee_MrWest: This bitch at work gone make me slap her head off her fuckin neck
1,&#8220;@LanaeCute_ass: My bitch bad she's a Puerto Rican &#128527;&#128540;&#8221;what song is that
1,@pufntrees the bitch ass nigga I just called a bitch
1,@TheLadyGamer if you gotta shout u a bad bitch... u ain't a bad bitch &#128524;
1,RT @Pretty_N_Purrls: To my EX that bitch can have you. &#128080;
1,@GirlThatsVonte shut up bitch
1,Hahahaha manziel is a faggot and the browns will ruin him. Win win for me
1,RT @DineroLoco_Bo: If a nigga fuck my bitch dats on ha cat .. but ima leave yu alone fa being trifling
1,Just hand them the game you zebra jack asses and save us all the trouble of watching
1,@GorgeousCamry_ ight bitch ima see u
1,RT @AndreShakti: Just took electric stim to my pussy! Eeek! Back on @KinkLive in 5 mins! http://t.co/41apcwSmQN
1,RT @Faceyspace: Dorks are fucking bitch-magnets. Sorry.
1,RT @__HerEyezLow: U gotta be a pathetic bitch to ride by another females house looking for a nigga that ain't yours smh
1,@BlakeAnderson21@dalton_ryann @justinmiculka01 bitch got the crew hype an still got her ass beat tonight should have brought him to us
1,Bitches with kids are retarded
1,Mad that it's a pussy gym and full of fuck people
1,@aaliyahhhm I knowww righttt. I don't even know how to use this shit. How I update my status on this hoe?
1,Before I let a pussy cut my hair I just will let it grow
1,If you balling buy yo bitch somethin
1,RT @girlposts: i hate when netflix stop &amp; asks if im still watchin like yes u think i got up &amp; started doin somethin with my life bitch put&#8230;
1,RT @anibeeezy: all these damn bitches on my phone line
1,@austinrea_ @sbsylvester @hunterbuch66 @kieffer_jason bitch that's wtf I just said and its not Christopher it's Chris mf
1,"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
1,@VeshaaCouture lol bitch yo display name
1,@baaaabyshaaaay_ My niggah!!
1,RT @TheRealMFast: Niggas cheat on the most loyal most beautiful women with fucking trash
1,Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.
1,"RT @ohhshedopee: I won't love you, I can't love you
Unless that pussy got some super powers"
1,"Here I go! Welcome to the titty show. Typa ass i see in a video. When I fuck, nut in you like a silly hoe. http://t.co/MsFzie1MAE"
1,"&#8220;@BasedChasen: Grandmas always b asking you ""Do you have a girlfriend???"" No....I got hoes tf you mean&#8221; real shit."
1,@BH_Dragons he's fucking trash
1,All these hoes say that wanna be cuffed bitch cuff this dick
1,Pulling hoes ain't something to be proud of hoes go with anybody &#9995;
1,Niggas be bitches hoes be bitches ion see no difference
1,Never bring these hoes to my house cause these bitches talk
1,RT @TheBossUnicorn_: I'm a crazy bitch.. fml
1,@Huntermoore finger my wet throbbing pussy slowly as I cum on ur fingers
1,@LickMyWhooooop @JustDoItSlow yall playful don't come dumb hoes
1,@RetroReasoning retarded pussy games #notPC
1,"RT @liltbrodie: ""Damn..... I ain't got no bitches"" http://t.co/BYtu7zJ0TX"
1,RT @ayoooitsjelly: some niggas act like straight up bitches
1,RT @TylerIAm: Not a one RT @TheDiorHomie @TylerIAm lmaooooooo never saw a bitch at a Deltron concert blood
1,@OhaiStepJ what a smelly hater bitch
1,"@JustFemaIe @CheatingAdvice 
Where the fuck were you this summer bitch?"
1,And by YALL I mean.... Whoever running back telling tunchi wtf I'm doing that's not my nigga dog niggas nd bitches &#128175;
1,RT @JoseCanseco: I do not have bitch tits
1,RT @LaBugg09: I love everybody ion hate these bitches
1,Lmao &#128075;RT @FreakyT252: &#8220;@VonshayeB: My nicca! RT @FreakyT252: &#127936;&#127936;&#127936;&#8221; wat fool??
1,RT @NoChillPaz: When a bitch says you're broke http://t.co/yFsL9rNK0j
1,RT @JoeBudden: U famous niggas ruined the game by jacking up the price on the pussy. - Michael Paul Budden.
1,"&#8220;@briceokc: ""cigarettes are so gross"" -half the bitches that smoke cigarettes &#128530;&#8221; @gfys__"
1,It's hot and my allergies are killing &#128553; I feel like a little bitch &#128514;
1,@kerrtheresa moderator wants to bitch slap Romney so hard
1,"My mentions &amp; tl moving fast af sorry if I'm flooding yo shit 
I'm lowkey tryna get off this hoe for yall"
1,"Kayci and I greet each other by saying ""hey cunt"" like it makes me lol"
1,RT @_illionaire: @VoiceOfDStreetz hahahaha signs be funny than a bitch
1,Lol shawty at sheets gave me her number haha I throw tht shit in trash outside
1,"&#8220;@FreakyAbandoned: Mental Asylum in Dallas Texas, 1980's. http://t.co/03S8dEsEzq&#8221; should I go find this hoe?"
1,My brothers ex was a fat hog man I swear this is the reason why he doesn't have any money or anything right now it's cause of that white hoe
1,RT @MadChad412: OMG Hahaha best thing you will watch today. Milan Lucic is a crybaby bitch goon. F him and F the Bruins https://t.co/KkPzGL&#8230;
1,@Viri_BraceFacee dont raise ur hand to me niggah
1,Im thinkin about using this beat and yeah I made it too bitch lol http://t.co/HTUk4USZJo
1,RT @Phuneas: Going as Candace for Halloween lmao ugly bitch
1,@0ddment I could fuck a bowl of graham cracker cereal
1,RT @KINGTUNCHI_: I need a real bitch !
1,"&#8220;@ChanelleLeee: you boney little hoe ""@wizkhalifa: Smile for the day. http://t.co/DcXdFtjSjt&#8221;&#8221;

This is funny? :/"
1,RT @BrooksBeau: Follow spree cunts. Just retweet this #followmeBeau
1,Jus need my nig Mack Wilds to win...fk the award tho
1,Dawg ass hoes
1,Can I get some good neck out dis hoe?
1,RT @kyanne_smith: @rahshauna. You arent a bitch.
1,"I smell I smell I smell, pussy"
1,@bri_shackelford @bellaangeletti sorry dyslexia is a bitch
1,@Me_NOindirect bitch fuck you!! You cut off until I get my snacks from fat boys !
1,@karlamorenoo my niggah my niggah lol
1,I don't fuck with these niggas cause they shady I don't fuck with these bitches all they want is to have my baby
1,@Jobbe03 @PandaEnchilada You're such a bitch Carlton. You're lucky your fathers a judge.
1,@IAMHICK3Y @chillbr0chill bitches on my dick but look at me I'm fucking beautiful
1,My dad just told @YourDudeFerg 's dad to text one of their friends and say hashtag pussy. Hahahaha I'm done
1,@kincade00 you seen it hoe put that cash up bitch imma take your money and spit on your fat ass
1,@FredBrooklyn @DoubleGunsChip That is great. Dumb crybaby pussy.
1,"RT @WBeezy_: ""@I_DontKIAra: my pussy dry 24/7 &#128530;"" http://t.co/yPvNTYdU28"
1,@ahimla2 - we do not want you here either! Suck my pigs arse you muzzie biotch! Get the phuck out and go back to your hellhole life!
1,"""riding with my bros still don't trust these hoes"""
1,"#PeopleToAvoid
Valerie Jarrett, so I control my reflex to bitch slap her."
1,"' I hate a "" Guesss who just tried to talk to mee "" ass bitch &#1041190;&#9995;&#9996;&#65039;"
1,If the world was free of sucka free it would be just me and my nigs left
1,@MichaelGT03 little bitch
1,RT @ASAPYams: bitches out here not lovin they self enuff for the both of us juheard
1,Biker gang looking ass bitches with titty tats. Foh sons of anarchy.
1,I'm just on this hoe to laugh
1,"""@alejandra_p13: These bitches love Sosa"""
1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
1,RT @_IAmMariahJ: @1017_Sqquad man I just went from 0 - 100 real quick I ain't no hoe the fuck niggas thought this was ?&#128530;
1,I see your tweets bitch! Lmfao RT @DaRealQuitaM: Von kick me to the curb I should call n curse her ass out
1,Niggahs need to keep there bitches in check '
1,@jordan536633 @heydenbunsyolo @bird_lovin shut yo cracker jack buck teeth ass Am a native and a nigga the best kind
1,@lilthickgawdess salty pussy
1,"RT @Brendaaaa05: I'm in love with mary jane and codine
I don't love these hoes"
1,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Close Up | Another pussy close up http://t.co/hBjDGvENXa"
1,@KingEgo if I can get this bitch to go --&gt;&gt; @Wisdom_Stature
1,"@The_Red_Sea @shetheTRUTHtho bitch, yo muthafukin ass reacting off that vain females' tweet &amp; dont no the context, her dumb ass dont neither"
1,RT @khulekile_32220: The karma of fucking over a good girl is the bitch you end up with
